price,mileage
6300,274117
2899,190552
5350,39590
25000,64146
27700,6654
5700,45561
7300,149050
13350,23525
14600,9371
5250,63418
10400,107856
12920,39650
31900,22909
5430,138650
20700,100757
12710,25747
5200,46194
16500,20002
5210,35714
38100,54380
12520,30114
7300,38823
15000,61578
6180,46010
20800,105510
11900,28040
21500,11451
12000,31039
4190,44174
13000,93698
12710,26364
18500,71967
29800,46226
5330,37792
13000,58817
11900,27965
16600,110907
19200,2430
7320,32366
7000,176567
12710,30049
16600,97983
30500,30442
6330,38123
55000,15273
12520,28972
16200,30061
19000,18414
5580,46829
54000,26241
12710,39886
16000,31594
27000,32107
7760,44794
19600,42648
12920,39165
20000,38355
18100,46766
23000,2473
18500,38586
13490,27842
20700,31156
17800,52435
6650,29942
29100,25281
12710,32504
21100,28649
18600,35200
4340,25602
19300,34801
12780,31009
15800,35595
29400,23765
4430,31792
19400,33135
12520,30636
15900,34502
26400,25434
4140,36732
18300,41792
12520,31992
17900,32501
18300,28395
4640,36139
24000,84413
13200,33457
18000,29245
14900,12783
4140,17617
11500,36855
9110,110316
7350,88227
24500,17626
9300,120353
39800,3641
53500,29355
15110,39333
34000,42930
26502,24993
5990,44929
13600,16971
23605,35598
10780,40455
13800,23164
25201,19011
7070,45191
8700,21405
18003,19117
8530,42104
23100,49496
24500,32418
7000,29882
17000,34819
34002,31923
6980,29168
25000,28307
20802,33791
9200,21770
26500,18375
24802,14158
7070,30318
28500,48086
47500,26562
23500,57611
23505,47357
10940,84916
32100,24521
53000,16105
6830,35888
11900,59537
26414,55222
4160,32870
19405,39687
5690,47085
25900,32224
24005,51293
5090,42989
19500,31311
32012,46091
6800,49033
4260,33957
0,177948
31802,19845
7210,38910
0,123660
28402,31234
6800,36767
33300,57932
10780,19420
6700,204155
20000,93493
6440,20942
19900,86826
37000,45787
4040,50765
22300,62774
31200,76326
4290,39029
22800,72885
19002,46467
4160,6743
18500,33514
39000,39917
6060,32504
28800,77638
40000,31727
6140,52966
21000,24157
20105,51393
6760,35461
25800,47055
39000,33110
5470,39721
14600,75785
24502,33624
15110,42289
7900,79422
27305,28844
15290,66582
26500,61436
25502,58303
7320,55618
3800,261648
24502,33045
4140,40747
1400,185460
18402,26667
4160,37176
175,231240
24503,18006
15840,72445
20500,123355
21003,44116
4200,60219
17400,135077
32001,32058
0,76858
15700,309564
31009,33928
3740,90618
5000,109360
31002,71809
3160,31563
8600,219823
6000,42090
12990,126523
25,7232
13200,60171
4410,209915
25,151815
22500,13826
7420,55854
13500,45757
15500,16545
3540,112893
17000,126802
45500,13303
4130,34061
15700,70251
45500,13679
4130,42426
15500,66452
16300,18221
4530,41455
15600,35275
45500,13885
4100,38815
18200,162281
10200,56479
4080,61027
5700,178703
10200,173469
5000,37321
1700,112789
6200,80394
3650,68142
10500,74203
43500,57604
4610,87229
3450,90711
38500,11135
6810,66781
2900,190994
43500,56007
4450,32486
5800,195908
16500,18020
4240,83262
26500,62015
13700,36421
8600,73321
8000,132379
14200,28013
7040,33291
4700,225236
30851,43176
4880,36876
14500,111782
7600,110489
13270,84035
12800,131101
33000,52521
9280,101380
900,142027
7560,111476
19500,76897
17100,15780
8020,31944
10300,18937
22600,9706
10480,57289
10300,19956
22700,6075
7410,21034
10300,22881
10300,167600
7570,37252
67000,10944
18900,27601
12560,15958
33000,32251
18300,25809
11760,30553
31700,26549
25,160528
0,124969
7340,15854
8200,56690
3000,97142
6530,10185
0,117541
12700,23514
13800,86959
0,258631
725,67279
7400,16482
9800,35687
0,152608
4400,17911
10330,21278
1800,47269
50,172102
720,26914
22800,67217
2500,78698
0,246065
9190,41961
10900,13273
10400,31713
0,0
0,194673
7320,325611
22809,50732
0,186855
0,94004
5520,52904
10900,14195
6330,43965
0,117059
25,149189
2320,112182
23702,49024
0,0
0,203297
5520,35821
4050,1
14810,32611
25,105244
2960,164048
24800,46955
0,296860
0,203158
6270,70443
1880,1
10050,18229
225,87673
26900,42941
1420,104405
27003,57186
0,214800
350,236980
5600,59808
6680,1
10120,20681
0,137422
3920,102700
23100,53270
0,235348
5630,27195
0,1
2800,20849
0,159266
8850,143818
18712,67347
0,180364
0,184889
6300,117400
2220,1
6930,47798
25,130623
3440,124542
50412,47129
25,206162
950,229886
9270,19490
11380,12038
5350,43536
2725,308451
3790,100893
40514,90304
0,146912
0,131367
9190,31394
10330,25933
1000,118250
2925,46060
3830,50593
43402,62387
1025,169634
17200,72527
54680,9502
6940,217290
13080,17243
25,194903
10630,82899
43009,76418
25,138441
4600,240740
4950,71404
3760,30382
3900,179389
0,105169
3830,82534
53500,55732
25,198596
25,300021
6240,83623
4150,108895
25,226972
61200,7509
0,137464
13500,33542
6490,74754
51502,27661
250,115241
25,41577
8160,109027
7770,72732
200,126400
25,177422
0,274706
1825,77984
39800,23177
9210,26911
58500,21527
125,56461
3960,95128
5998,122975
3700,162824
0,148463
0,181896
0,216657
5000,140339
15050,26786
3960,35623
36300,14541
55600,8186
2630,36739
5690,42616
19500,65833
450,123515
20400,36122
4320,88359
33001,35905
10000,35747
0,167011
5790,105020
14750,11047
4010,31233
40000,19427
13000,71991
3550,29043
3040,36064
0,270080
36400,47213
4480,116480
31003,72084
75,295780
8850,148035
14750,11396
4690,33785
23000,20103
46900,32387
10740,48140
3160,34861
0,268040
3450,114119
27102,34165
500,27442
5100,144792
15010,11394
5800,30546
23200,23745
8000,88274
3390,38349
3140,30142
25,267834
15000,44730
10440,92476
23911,25698
25,155242
21400,54332
5380,119215
11000,8930
4950,46985
22500,30220
30300,37021
2630,43152
3140,34318
2300,88287
4310,105486
26012,19850
75,116535
48500,15777
3330,87448
11200,8395
4730,30121
24900,33687
29400,37561
8350,32256
475,902041
3210,25255
25,165327
4200,118009
8430,114547
25503,18647
0,252588
26000,16669
3900,47970
11200,12905
8610,22123
28000,40780
84900,25302
10840,36596
100,0
11050,30421
0,134938
1000,135675
3570,17355
25001,27773
0,86841
5630,58366
11100,11229
4650,27492
0,89705
3820,41654
0,982486
2900,31954
50,172102
5100,173321
4700,93423
29502,14053
0,145483
6160,25956
10910,12253
3440,34895
16000,47753
3810,39408
1025,1017936
3020,33599
0,194673
2000,507985
3870,185983
24811,28464
75,154989
5420,16702
11100,11449
4750,25847
17900,49772
3800,83915
3160,40306
25,149189
1200,149543
6470,69622
26400,36295
0,0
32500,14856
6900,44129
11030,10861
3460,142106
18000,82411
3250,111612
3210,35251
13200,50408
27705,15630
7200,53273
28714,14786
11200,85315
27502,16146
11900,76211
29314,15265
11200,79965
27002,16059
13200,62739
28214,15569
12700,58932
29900,17488
12700,60733
27202,18550
13500,53194
27705,17644
14700,34454
29900,17684
4500,83279
27705,16600
8000,107971
25511,17801
7700,94150
29900,17159
7200,80711
27502,17983
4500,119981
27402,17851
1500,66079
26602,18174
10200,7654
29900,18759
14000,11564
28500,18901
8000,86541
29809,21157
36900,29937
26902,23964
10950,58504
27402,20154
16900,63500
25600,23294
29700,24293
27702,20343
13500,19655
27102,19100
27102,20014
25811,21774
26602,21201
27102,21766
37500,12406
26211,17977
24205,22805
37500,16013
27111,14382
27411,9660
27302,18969
27202,24730
26311,15847
26602,25009
33500,22115
27511,11836
21500,23765
27200,25508
26511,18196
24002,16106
21500,14907
18511,12735
14000,53424
29000,17940
23402,17417
13300,37125
19700,61428
23211,17025
15500,37668
18111,15805
21500,43761
25511,11342
17700,35664
28000,12780
14000,38458
21700,34420
13500,46497
35500,21268
29500,31029
25300,40878
21500,20270
25900,32984
35300,75506
13500,39951
62000,19403
46000,4445
9000,67527
25900,33588
25800,10103
17000,26474
12800,40253
47400,39624
24400,48705
17100,19659
7400,91299
33100,81614
22000,179
35000,5523
16500,29841
35300,8516
26900,42941
11600,27498
28100,31141
27700,20784
17700,52667
16600,26003
63200,4266
36800,32332
19500,44333
38800,36198
37500,33331
35000,43082
31100,24561
22600,13485
22400,15524
22700,8996
13700,47282
37100,34470
18500,87264
18300,114344
19000,111635
18500,103955
22500,66640
14500,122018
32800,46915
12300,53599
19600,41672
13600,36047
7200,42561
19900,40345
13000,41751
19700,27593
9400,24009
23800,85697
17700,25223
17000,27927
14000,135127
32100,55532
33100,72172
31600,57751
5100,96314
4100,89152
7200,114660
12800,177322
46800,36423
21800,23759
3000,120667
22500,65344
35300,51347
16500,52322
33000,67620
31500,59965
34500,28739
8000,77429
25000,20847
10700,44280
13400,86031
16500,7622
34000,8067
14100,16502
38600,20681
9100,54655
8600,57825
22000,58856
8900,85072
15500,79506
3300,85301
29000,69377
17300,15577
30500,23470
25000,18715
2800,61258
3300,131791
36400,35705
34800,48982
20700,33745
32200,42267
35300,46863
33500,36443
13700,14939
15900,22026
33200,38278
35500,46149
29800,48427
29800,48807
29500,52618
30300,46494
24300,56296
29800,33909
29800,33028
27500,44653
10800,80516
11500,105151
10400,78368
11400,78956
11400,88564
8000,78800
3000,111856
25000,80946
12300,83168
14100,58606
9000,82020
4200,102500
22500,8150
22600,6159
22600,5938
22500,9019
10200,45836
42700,60215
21200,125507
22700,90944
22000,82785
9600,150525
10500,112267
6700,139394
14200,82543
15500,13532
35100,14751
26300,11150
15700,91248
17600,65336
18600,48974
19100,40011
15200,37444
16100,43199
14800,43589
16700,32870
15300,38826
16500,33739
19600,35309
15200,32248
15000,36165
15500,29922
15700,26848
14800,41163
9200,32856
8200,100315
11400,91638
6500,83173
11500,94356
23800,85792
8900,129068
28300,27665
27300,25427
3500,78198
28300,13886
18300,34538
22500,20575
22500,26026
8300,99015
16500,27327
14500,30229
30000,43294
30000,54309
30000,52822
30000,45554
30000,37538
29500,35153
21600,23783
22600,30759
16300,38922
8600,165836
28800,19235
22100,9445
14300,19164
13700,54106
29500,32051
18500,14870
19000,32294
43400,7250
46000,10145
12500,59924
13900,21304
13000,52079
13000,54960
3000,80099
17500,23987
7900,84144
8900,85639
11500,50193
6500,74392
8000,76117
18700,36358
8350,90685
27900,54141
14500,82240
6200,66167
7500,144220
20200,24722
29300,41198
31000,26353
32400,28280
5800,130120
21500,15340
23100,12265
4500,94872
24800,17946
23000,26996
26900,5775
21500,6748
15700,38128
15200,41636
23300,5359
6100,70296
20000,11346
53000,7415
3000,107593
18200,50639
21800,6530
52000,17432
19000,19636
25000,41748
36000,13162
17000,32937
25300,23095
14900,34432
15000,48162
12995,68310
17750,48000
10295,105962
16995,96575
25000,13239
23995,24934
14900,46859
15810,44468
20227,62230
20999,37082
22499,23964
23495,11204
25250,7608
15322,49982
21232,4950
5800,111628
29000,15927
17000,36299
13800,28469
30000,29086
14800,35991
8500,62224
9800,86500
4200,144725
2500,163260
28700,19636
18500,34272
17300,42909
7100,55749
3250,89142
30700,20328
3000,149332
26500,28551
20800,35098
20800,35365
5100,88398
18900,27957
24000,30161
38800,26292
24500,25780
24500,25032
6500,72248
24000,30630
18000,86125
24000,30408
23500,35443
4500,95377
25900,32724
13900,45089
14200,35948
15400,41601
17500,26370
17500,18271
18000,9476
25200,80899
14100,57394
13300,42190
16200,22591
13300,48681
13100,42621
15500,27761
4500,107768
28400,14355
17400,9467
6000,122837
20700,18313
20300,19506
14000,14750
22000,11280
17200,13944
15000,26922
17500,12690
1300,239822
1750,74975
16300,28289
15700,38041
10000,52386
23100,34391
14900,39515
16700,22074
16300,28782
25800,30092
23800,26443
16800,28981
15500,32865
6000,117258
26900,16397
16900,16176
19500,1091
15400,17472
2300,123882
17000,10341
34000,19695
13700,51041
19100,22646
11800,18138
27500,23987
26900,17160
27100,26929
27200,25815
9000,81992
22500,5000
7700,62683
4500,107224
2200,184905
21500,35153
18800,26474
21800,30943
20300,17154
8200,79637
19000,12123
8400,107822
19500,10221
7000,95278
19500,13457
8500,69936
20500,13520
4900,96922
20800,72594
28500,17896
21900,11088
15800,29567
33000,15655
22700,26428
21900,29003
19300,32229
30700,26503
19300,15446
13750,128556
16400,23369
19500,8767
15100,48319
28500,15275
15300,33826
20300,16679
22000,26184
16700,21203
19300,17870
34100,17909
14600,41126
18200,14098
33800,15003
15900,29105
16500,34794
29600,20034
14100,46942
18200,14753
18200,14359
24300,34922
15400,20944
19000,9877
19000,8949
27800,13627
18200,18291
15000,38029
19200,32593
15500,37352
24900,23030
15500,30671
7600,79544
18400,15027
14700,29115
3900,93604
5200,100203
17200,35401
18700,20279
32000,26090
14500,107924
19400,14906
17300,34407
16700,18049
19100,18132
11100,109176
32000,25456
16900,38375
18000,39792
17800,30403
18000,28252
17500,31904
14500,24336
18500,23961
18600,22919
32000,22863
17000,38817
16000,48854
18000,27288
15900,5284
6200,99988
3700,84109
24000,88539
20800,33739
18500,101017
18300,13906
21000,20601
1300,135561
11900,23421
950,145174
26800,21309
800,217576
21000,10350
1900,157636
33500,8605
900,139404
21000,10170
26800,22272
5700,101906
18500,27019
33000,10930
11000,73552
15800,37107
3600,124247
16300,36993
2700,67133
12800,33580
9700,94140
18300,10447
16000,10229
21000,6269
3700,98699
33000,10631
14700,44381
33000,13960
15900,14051
33000,20800
33000,8873
32500,15502
33000,9669
13000,50873
33000,14117
16500,46820
33000,7247
34500,40991
33500,9023
48000,8047
54500,3966
13200,41014
31500,20907
17400,89795
26000,57158
1700,126718
11000,83976
21000,12554
5500,60707
7500,40110
15800,28038
16900,26643
25000,36127
18000,19983
15600,29926
23800,36750
16800,27312
22700,49575
23300,30279
23500,25825
25500,32474
21800,30585
22800,36203
18200,29602
23500,28689
25700,31447
15700,39148
17500,33495
15700,35274
16500,48745
16100,31297
15600,38745
15400,37704
28200,27060
15300,40002
15900,34930
17700,22863
15800,36876
15900,34264
25300,17515
16300,27071
29500,14656
14500,35652
15400,30055
15400,43088
15100,33641
15000,34797
15500,43943
15000,35744
15200,31542
15700,26899
16100,29985
16300,37009
16000,30731
16900,30062
17000,28295
17300,25534
15900,29716
15700,34294
16900,27643
15500,35516
15100,40674
15500,32494
15400,35047
16500,32898
42500,13740
16600,23132
15200,37174
15800,34023
16900,30021
11100,51469
15600,31237
16900,30186
15300,41956
16600,30727
21800,38956
36500,22036
26300,26462
20900,23143
20100,17340
26700,29749
23900,35248
14500,40417
23000,30309
15000,42303
15000,35326
28500,92100
28000,99375
9000,72418
28700,29733
25000,119439
17347,54396
13800,91606
25888,2807
8500,78739
21289,71955
17999,48472
2700,98470
30977,28937
13799,83693
20500,90888
8500,216942
9900,205796
65500,6500
24500,39943
32500,5920
9200,71478
17700,119520
18300,10882
43500,29010
15200,69003
36200,16207
21900,29748
20700,25582
12300,24520
4200,104383
19500,34164
14300,6975
13700,67150
13200,100820
6200,142286
6500,60015
1500,126381
2200,128753
4200,0
8700,64598
3200,111532
9000,149346
20000,43567
33000,36004
23300,10935
8750,150484
11975,122014
23600,19363
12000,42902
30900,401
23900,11077
40400,34100
38000,30018
27000,18279
24000,7373
30000,2590
16200,41662
30000,15019
23900,9420
13800,41864
23700,16829
24300,6290
54900,14393
22500,14599
39000,25839
13900,60715
24700,23350
20100,62386
22000,6248
38200,878
24400,49710
35000,2042
18600,7742
22700,39733
38000,33701
17000,67542
17500,35095
23200,8652
30700,51107
23500,14987
26400,28252
23500,16009
38000,47866
23600,11004
19300,42895
23200,9490
13800,39027
23600,13466
23200,8737
40000,23960
23400,5562
23600,13763
23000,10444
25500,41696
23500,15787
29900,9167
23200,17541
50500,24686
23400,15210
24500,54601
49000,2205
25400,35691
23000,32788
6000,180471
22400,42925
22500,37385
25200,15415
36000,20047
26700,16884
30500,57936
26700,15244
25000,19842
35200,38830
30300,31899
25000,69305
26500,46098
21600,29457
18800,30765
21500,29096
9000,40437
16700,69004
16800,65179
15700,75862
