price,brand,model,year,mileage,color,state
6300,toyota,cruiser,2008,274117,black,new jersey
2899,ford,se,2011,190552,silver,tennessee
5350,dodge,mpv,2018,39590,silver,georgia
25000,ford,door,2014,64146,blue,virginia
27700,chevrolet,1500,2018,6654,red,florida
5700,dodge,mpv,2018,45561,white,texas
7300,chevrolet,pk,2010,149050,black,georgia
13350,gmc,door,2017,23525,gray,california
14600,chevrolet,malibu,2018,9371,silver,florida
5250,ford,mpv,2017,63418,black,texas
10400,dodge,coupe,2009,107856,orange,georgia
12920,gmc,mpv,2017,39650,white,california
31900,chevrolet,1500,2018,22909,black,tennessee
5430,chrysler,wagon,2017,138650,gray,texas
20700,ford,door,2013,100757,black,virginia
12710,gmc,door,2017,25747,white,california
5200,kia,forte,2018,46194,blue,north carolina
16500,buick,encore,2018,20002,red,tennessee
5210,ford,mpv,2017,35714,white,texas
38100,ford,door,2013,54380,gray,virginia
12520,gmc,door,2017,30114,white,california
7300,kia,forte,2018,38823,black,north carolina
15000,chevrolet,door,2015,61578,black,ohio
6180,ford,mpv,2017,46010,blue,texas
20800,ford,door,2013,105510,silver,virginia
11900,gmc,door,2017,28040,silver,california
21500,kia,sorento,2020,11451,blue,north carolina
12000,buick,door,2014,31039,brown,ohio
4190,ford,doors,2017,44174,white,texas
13000,ford,chassis,2008,93698,white,tennessee
12710,gmc,door,2017,26364,silver,california
18500,infiniti,q70,2016,71967,gray,new york
29800,chevrolet,camaro,1973,46226,red,pennsylvania
5330,ford,mpv,2017,37792,no_color,texas
13000,ford,convertible,2003,58817,gray,virginia
11900,gmc,door,2017,27965,black,california
16600,mercedes-benz,vans,2016,110907,white,new york
19200,chevrolet,1500,2018,2430,white,tennessee
7320,ford,mpv,2017,32366,gold,texas
7000,ford,pk,2003,176567,white,tennessee
12710,gmc,door,2017,30049,white,california
16600,mercedes-benz,vans,2016,97983,white,new york
30500,chevrolet,1500,2018,30442,red,tennessee
6330,ford,mpv,2017,38123,red,texas
55000,ford,srw,2017,15273,black,pennsylvania
12520,gmc,door,2017,28972,black,california
16200,jeep,compass,2019,30061,red,north carolina
19000,chevrolet,malibu,2017,18414,white,tennessee
5580,dodge,mpv,2017,46829,gray,texas
54000,ford,srw,2017,26241,black,pennsylvania
12710,gmc,mpv,2017,39886,red,california
16000,jeep,compass,2019,31594,silver,north carolina
27000,buick,enclave,2017,32107,no_color,tennessee
7760,ford,mpv,2017,44794,gray,texas
19600,chrysler,300,2019,42648,gray,south carolina
12920,gmc,mpv,2017,39165,silver,california
20000,jeep,cherokee,2019,38355,charcoal,north carolina
18100,buick,door,2017,46766,silver,florida
23000,chrysler,pacifica,2020,2473,white,ohio
18500,chrysler,300,2019,38586,gray,south carolina
13490,gmc,door,2017,27842,white,california
20700,jeep,cherokee,2019,31156,white,north carolina
17800,chevrolet,door,2017,52435,black,florida
6650,ford,door,2017,29942,black,texas
29100,chrysler,pacifica,2019,25281,red,south carolina
12710,gmc,door,2017,32504,silver,california
21100,jeep,cherokee,2019,28649,silver,north carolina
18600,chevrolet,door,2017,35200,white,florida
4340,ford,door,2017,25602,silver,texas
19300,chrysler,300,2019,34801,gray,south carolina
12780,gmc,door,2017,31009,black,california
15800,jeep,compass,2019,35595,charcoal,north carolina
29400,bmw,x3,2017,23765,black,tennessee
4430,ford,door,2017,31792,black,texas
19400,chrysler,300,2019,33135,gray,south carolina
12520,gmc,door,2017,30636,red,california
15900,jeep,compass,2019,34502,red,north carolina
26400,buick,door,2017,25434,white,florida
4140,ford,door,2017,36732,black,texas
18300,chrysler,300,2019,41792,gray,south carolina
12520,gmc,door,2017,31992,black,california
17900,jeep,compass,2019,32501,red,north carolina
18300,chevrolet,camaro,2017,28395,black,florida
4640,ford,door,2017,36139,blue,texas
24000,ford,door,2016,84413,black,pennsylvania
13200,gmc,door,2017,33457,white,california
18000,jeep,compass,2019,29245,gray,north carolina
14900,chevrolet,equinox,2017,12783,silver,florida
4140,ford,door,2017,17617,white,texas
